,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Brooklyn Nets,Golden State Warriors,-0.6833422848608932,-0.563178323792735,-1.3377408828517805,-1.2372997826250831,0.15651884160487622,2.778326641920758,-0.2128382325858851,1,12/22/2020
1,Los Angeles Lakers,LA Clippers,0.07912384351020879,-0.22527132951709325,-0.1783654510469035,-0.04056720598770763,0.8347671552260152,1.5815090115548882,0.7981433721970692,0,12/22/2020
2,Boston Celtics,Milwaukee Bucks,-0.7193076682746246,-0.3942248266549122,0.178365451046905,-0.4462392658647841,-0.6260753664195123,-0.04274348679878459,-0.6385146977576494,1,12/23/2020
3,Philadelphia 76ers,Washington Wizards,0.5970253646679383,-0.7884496533098284,-0.44591362761726017,0.8316277227480067,0.443470051213821,-1.0685871699695224,0.21283823258588508,1,12/23/2020
4,Memphis Grizzlies,San Antonio Spurs,2.1219576214101434,1.5205814742403865,0.44591362761726006,0.8316277227480068,0.5999888928186972,-0.6838957887804981,0.053209558146471325,0,12/23/2020
5,Chicago Bulls,Atlanta Hawks,1.8270414774175472,-1.295310144723289,0.7134618041876168,0.8316277227480067,-0.05217294720162666,-1.709739471951236,0.5853051396111841,0,12/23/2020
6,Minnesota Timberwolves,Detroit Pistons,1.6687937903971295,1.1826744799647444,-0.08918272552345186,2.048643902379236,1.9303990464601601,-1.111330656768301,1.3834485118082531,1,12/23/2020
7,Denver Nuggets,Sacramento Kings,0.9854515055362361,0.16895349713782293,0.178365451046905,1.135881767655814,0.20869178880650663,-1.8807134191463621,0.8513529303435344,0,12/23/2020
8,Portland Trail Blazers,Utah Jazz,-1.884586090879517,-1.5768993066196568,-0.7134618041876153,-2.393465153274751,-1.5651884160487772,2.6500961815244173,-1.7559154188335462,0,12/23/2020
9,Phoenix Suns,Dallas Mavericks,1.596863023569667,0.056317832379274346,0.981009980757972,0.9127621347234222,0.4434700512138209,-1.0685871699695224,0.957772046636477,1,12/23/2020
10,Orlando Magic,Miami Heat,-3.208112200504827,-1.0137209828269256,0.08918272552345174,-2.7585700071641197,-2.373869097673981,1.9234569059451405,-2.394430116591202,1,12/23/2020
11,Indiana Pacers,New York Knicks,-1.1724714992876388,-1.12635664758547,0.5350963531407119,-0.1825524269446844,0.13043236800406477,0.47017835478659353,0.2660477907323563,1,12/23/2020
12,Cleveland Cavaliers,Charlotte Hornets,0.4028122942337894,2.027441965653847,2.140385412562847,1.1764489736435217,-0.5478159456170706,-3.376735457103688,0.05320955814647127,1,12/23/2020
13,Toronto Raptors,New Orleans Pelicans,1.1005407324601761,-0.2252713295170934,-1.5161063338986853,1.1155981646619602,0.7565077344235734,-0.8976132227744026,-0.2660477907323564,0,12/23/2020
14,Miami Heat,New Orleans Pelicans,1.8414276307830395,-0.45054265903418655,0.08918272552345163,1.80524066645299,1.173891312036583,-1.709739471951236,1.8091249769800175,1,12/25/2020
15,Milwaukee Bucks,Golden State Warriors,-0.9926445822189822,0.2252713295170934,-1.4269236083752321,-0.9736129437049833,0.07825942080243811,2.179917826737829,-0.5853051396111841,1,12/25/2020
